"C_ID","C_Age","C_Education","C_Gender","C_MonthlyIncome","C_MonthlyFamilyIncome","C_HomeOwnershipStatus","C_RelationshipStatus","C_NumberofDependants","C_EmploymentType","C_FirmSize","C_Industry","C_FinancialLiteracy","C_FinancialInstitution","C_PersonalFinancialAdvice","C_TotalVoluntarySuperContribution","App_Tenure","App_AverageDailySessionTime","App_FrequencyOfDecline","App_ContributionTriggerAmount","App_NumberoftimeContributionTriggerAmountChanged","App_RoundUpWholeAmount","App_ShowTutorial"
"0aa009d1-7dcb-40a1-9b74-88ed582a7958",37,"M","F",13097,23575,"N","M",6,"C","S","EGW","M","FLY","N",753,12,0,"H",10,94,1,"N"
"9e455c72-be5a-486b-9cec-7fe4b0be07a0",55,"B","M",19060,19060,"Y","S",1,"C","P","WHT","H","RAMS","Y",2859,27,44,"L",10,37,1,"Y"
"893647de-c9bb-4308-9c01-976ec735710c",24,"D","M",8479,8479,"N","S",1,"P","S","FSS","M","BBL","N",424,3,8,"H",10,66,1,"N"
"4d14e29d-b8cb-4a7f-a407-a2693b8e7073",58,"P","F",17983,17983,"Y","S",1,"C","P","MAN","H","BQL","Y",3597,27,20,"L",10,79,1,"Y"
"93f70d64-1754-4fbf-b583-3d58ba8350e4",29,"B","M",5539,5539,"N","S",1,"C","S","WHT","L","PIB","N",554,2,12,"H",10,38,1,"N"
"05dce390-9d6a-4f9a-8f6f-9a08e0963ca9",59,"D","M",16035,28863,"Y","O",4,"P","S","FSS","H","CTI","N",3207,5,22,"L",10,21,1,"N"
"88e6f47c-1163-42bd-a42d-daf8f567ebba",48,"P","M",18308,45770,"Y","M",5,"P","P","IMT","H","BOM","N",5896,20,58,"L",10,32,1,"Y"
"88ef118d-6109-403a-b4e2-590b8161fada",43,"M","M",14696,36740,"Y","M",0,"C","S","AFF","M","VFL","N",1183,27,49,"M",10,36,1,"N"
"9e1bec55-1da5-470b-b003-83a6cad5227d",49,"B","F",14977,37443,"Y","M",5,"P","M","MAN","M","BOM","Y",2584,14,55,"L",10,31,1,"Y"
"c2ab9e4c-118b-4d87-95d5-22e6b66a47ca",59,"D","F",11004,27510,"Y","O",5,"P","P","RET","H","SUN","Y",2201,23,42,"L",10,91,1,"Y"
"0b1c2a90-9d61-42d3-81bf-61774e6de353",34,"M","F",16218,29192,"N","M",3,"C","S","MAN","H","HPL","N",933,2,3,"H",10,74,1,"N"
"6da22887-110f-4827-9607-8b1b719d703a",20,"M","M",4086,4086,"N","S",1,"P","P","EDU","L","VFL","N",204,27,30,"H",10,58,1,"N"
"a1465227-5653-4c96-8c46-e7a25dc45030",47,"B","F",14305,35763,"Y","O",7,"P","M","RET","M","SUN","N",0,29,21,"H",0,23,0,"N"
"f45f9412-c57b-4f17-9ee3-7400abcebfb5",20,"H","F",5763,11526,"N","O",5,"P","S","THR","L","RAMS","N",576,9,36,"H",10,65,1,"N"
"3d701d8d-32fc-404c-aeeb-fdf5d5db4806",58,"H","M",16981,30566,"Y","S",0,"C","M","RET","H","PIB","Y",0,16,1,"H",10,34,0,"N"
"4d836e8b-401b-4ed7-9419-2fb62716bddc",27,"H","M",5151,11332,"N","S",7,"P","P","MAN","L","ANZ","N",415,2,43,"H",10,22,1,"N"
"c6df9993-ec52-4493-bcb0-15e91a2a6986",51,"B","F",16145,16145,"Y","S",1,"C","M","HAC","M","HPL","Y",3229,24,59,"L",10,29,1,"Y"
"8ee1387b-01ef-43bf-89af-604a42ae6910",36,"D","M",8128,8128,"N","O",5,"P","M","EGW","M","HSB","N",406,13,30,"H",10,32,1,"N"
"88b2f182-ce59-4d73-aaea-c8b31e0b1e80",42,"P","M",17349,17349,"Y","S",1,"P","P","EGW","H","IOOF","N",867,11,41,"M",10,41,1,"N"
"e3e837a6-945e-463e-9c6a-d348380e70a5",36,"B","F",6455,12910,"N","M",6,"C","M","MAN","L","VFL","N",743,5,57,"H",10,68,1,"N"
"f56c76c0-e9a9-486e-916c-e991775263d1",40,"M","M",11270,11270,"Y","S",1,"P","M","TNT","M","CBA","Y",1127,17,23,"M",10,74,1,"N"
"cfd22ecc-66dc-4825-888f-e73c8ec78888",51,"P","F",17595,17595,"Y","S",1,"P","P","CON","H","WBC","Y",3519,15,35,"L",10,22,1,"Y"
"0b0c2426-3ada-4cd4-85d8-d3d908451281",51,"M","F",11486,20675,"N","O",2,"C","M","RET","M","CMC","N",0,10,2,"H",10,1,0,"N"
"6d3f70b7-af7f-41c7-b69f-8463d036f720",37,"P","M",9969,24923,"N","M",0,"P","P","FSS","M","CSP","Y",802,14,27,"M",10,41,3,"N"
"934849e6-5b26-4841-b3da-224f1edcb912",31,"B","M",8117,8117,"N","S",1,"C","M","EDU","M","HAS","Y",0,12,44,"H",30,93,0,"N"
"7df8577a-5f09-4390-ae7d-05fd6798c9c1",53,"B","M",12574,12574,"Y","O",0,"P","M","FSS","M","PIB","Y",2515,29,0,"L",10,27,1,"Y"
"0a31b9ae-a141-4731-8caa-6671136ba22a",54,"M","M",11094,11094,"N","S",1,"P","P","RET","M","MEB","N",2219,22,19,"M",10,6,1,"N"
"6ed775c4-7aeb-4f95-8c21-2d5e829d02a5",37,"M","M",8459,12689,"N","S",0,"C","S","HAC","M","HSB","N",0,7,4,"H",0,100,0,"N"
"bdf3e1d0-71ac-4ccb-85a9-1bba05319f7e",46,"B","F",10477,26193,"Y","S",0,"P","M","HOS","H","BQL","Y",0,5,13,"H",10,62,0,"N"
"edaac9bf-d22d-49f6-a9d6-fddfbc9c5503",30,"P","F",7874,19685,"Y","M",4,"P","S","EGW","M","BQL","N",905,24,37,"M",10,100,1,"N"
"e3b55fb3-aea2-4c23-b4ce-5dcd33d372c1",41,"D","M",19465,19465,"N","S",1,"P","S","WHT","H","CBA","Y",3893,8,13,"L",10,92,1,"Y"
"22554e65-536a-46ab-a331-49f9fd0aa767",53,"D","M",9528,20962,"N","M",8,"P","P","CON","M","BBL","N",3069,14,43,"L",50,19,1,"N"
"728d7a29-0cda-4119-adf4-cc646623df7e",45,"P","F",15863,15863,"Y","S",1,"C","S","CON","H","BTS","Y",793,29,12,"H",10,46,1,"N"
"8bd16ef7-13a2-41d5-951f-8b7844a1ef0c",48,"D","M",13777,13777,"Y","S",1,"P","M","IMT","M","BBL","N",2755,23,59,"L",10,14,1,"Y"
"fb5cc009-b225-4406-8e0f-8bbf85fc08e2",25,"H","M",5848,5848,"Y","S",1,"P","M","FSS","L","CBA","N",585,5,6,"H",10,76,1,"N"
"d83585a3-da5b-43be-9ecb-0f1e46f3daa7",27,"D","M",4838,9676,"N","M",6,"C","S","AFF","L","MBL","N",779,2,31,"H",10,36,1,"N"
"7282e91a-8f02-46d9-8703-488956f6270d",44,"H","F",19543,19543,"Y","S",1,"P","M","MAN","H","RAMS","Y",977,9,43,"M",10,44,1,"N"
"19452bf1-bf81-4c9e-917a-9b22ccd383af",43,"D","M",7655,16841,"Y","O",6,"C","M","TNT","L","MBL","N",383,10,11,"H",10,82,1,"N"
"547fe837-e50a-4efe-acec-bc042a06bbe5",44,"M","F",13206,13206,"Y","S",1,"C","M","RET","M","DBL","Y",0,27,23,"H",0,89,0,"N"
"b52fb338-0916-41ed-bd95-f613d51c604e",38,"H","M",7995,19988,"N","M",3,"P","P","EDU","H","RAMS","N",1288,18,35,"M",10,60,1,"N"
"b2be9ce3-1ecf-4aeb-82d3-b0782a4e69c8",27,"H","M",4976,4976,"N","O",4,"P","S","EGW","L","IOOF","N",498,6,10,"H",10,72,1,"N"
"79f89549-7e01-4224-b44f-03974e0ee974",52,"P","M",12580,12580,"Y","O",2,"C","M","IMT","M","MTP","Y",2516,14,44,"L",10,66,1,"Y"
"011a0b71-05cc-461a-aecd-c68eee40d6eb",25,"M","M",19920,35856,"N","O",4,"P","M","HOS","M","VFL","Y",2996,16,19,"M",10,22,1,"N"
"0bd52e4e-aee1-4afb-9d29-a6d86aff3519",21,"M","O",16345,16345,"N","S",1,"C","S","WHT","H","CBA","N",817,13,29,"H",10,13,1,"N"
"35b743fb-3cc1-43ff-b9e9-5421d9ef5c87",36,"P","M",8389,8389,"N","S",1,"P","M","RET","M","CBU","N",719,16,7,"H",10,45,1,"N"
"b2f7ea53-6937-489d-9bda-042ecde0741f",59,"P","F",19236,19236,"Y","S",1,"P","S","FSS","L","PIB","Y",3847,3,31,"L",10,97,1,"Y"
"7720ead3-b924-470b-9be9-e928f28060e1",37,"P","M",7280,7280,"N","S",1,"C","M","WHT","L","BQL","N",364,14,42,"H",10,83,1,"N"
"bf6ae9ba-2e9f-43f3-88ab-f0580af8a924",49,"M","M",11842,11842,"Y","O",1,"P","P","EGW","M","SUN","Y",2368,2,58,"L",10,77,1,"Y"
"c37db08e-d673-460a-8cc8-920296877fd9",47,"P","M",16779,16779,"Y","S",1,"C","P","AFF","L","CSP","Y",3356,7,5,"L",10,56,1,"Y"
"daa5a379-e788-473c-b6cb-d930e57d5ce6",57,"B","M",18863,18863,"N","S",1,"C","P","IMT","H","DBL","Y",3773,29,49,"L",10,41,1,"Y"
"21e6f204-630e-4f1d-8510-1f3177b7f589",34,"B","M",9390,20658,"N","M",6,"C","P","MAN","M","WBC","N",757,18,18,"H",10,16,1,"N"
"cfab87f1-e507-46c8-850e-36b68313934f",53,"D","F",19832,49580,"Y","M",8,"P","M","THR","H","WBC","Y",4561,11,50,"L",10,51,1,"Y"
"ed2e1994-6b86-4e1d-b57c-1086152d2242",50,"H","M",18281,45703,"Y","O",8,"C","M","RET","H","HSB","Y",3656,2,31,"L",10,6,1,"Y"
"8015d0e7-6279-4e2e-8166-f70d25248b2e",50,"B","F",13735,34338,"Y","O",8,"C","P","HAC","M","MLC","N",0,20,36,"H",0,43,0,"N"
"3a29e904-6ddf-4d5d-8563-9f118070901c",24,"P","M",4278,4278,"N","O",2,"P","P","CON","L","WST","N",0,21,29,"H",10,24,0,"N"
"89cd486c-d05f-499c-9eb5-e058aaa45239",30,"B","F",7619,19048,"N","S",1,"P","P","IMT","L","MEB","N",438,30,53,"H",10,72,1,"N"
"13fd5109-6e24-4403-8992-37142ab194b0",53,"B","M",11356,20441,"N","M",5,"P","S","HOS","M","SUN","N",3656,19,12,"L",10,11,1,"N"
"ccaab646-1953-481f-82b4-e2bd4d842f26",26,"H","F",5099,10198,"N","M",3,"P","S","HOS","L","STG","N",587,22,41,"H",10,98,1,"N"
"68d21b18-300a-40ed-82d4-c3c6c85fde4d",50,"M","M",14928,32842,"Y","S",2,"P","S","HAC","M","CBU","Y",0,30,45,"H",10,25,0,"N"
"19c2b15c-71e9-4537-985f-497d81b38892",24,"D","M",8662,8662,"Y","S",1,"C","M","EGW","M","MBL","N",433,25,20,"H",10,97,1,"N"
"c4313a32-07d0-4dc5-8c8a-cc5132565ee5",60,"M","M",11755,29388,"Y","M",5,"C","S","FSS","M","MBL","Y",3785,14,31,"L",10,19,1,"Y"
"d4d2345e-b627-4f35-943e-62bde7afecd3",21,"H","F",4793,9586,"N","S",4,"C","P","THR","L","AMPS","N",0,17,8,"H",0,31,0,"N"
"d398646c-d8c5-4dd0-ae1e-cc869cfc87fb",52,"D","F",11642,29105,"Y","O",8,"P","M","RET","M","UBS","Y",2328,12,18,"L",10,90,1,"Y"
"309f95de-85ff-4bb5-9900-f705f1669808",43,"D","M",16242,29236,"Y","M",7,"C","S","EGW","H","FLY","Y",1307,18,51,"M",10,11,1,"N"
"534c6578-449d-40a3-af24-2b385504bdfc",49,"P","F",18926,34067,"Y","O",7,"C","M","WHT","H","CSE","Y",3785,29,23,"L",10,21,1,"Y"
"327c99ef-2287-4cb1-97cc-9fe23c8fbdb1",60,"B","F",15657,28183,"Y","O",6,"C","P","FSS","H","CTI","Y",3131,6,47,"L",10,73,1,"Y"
"9e12234e-bc51-4f26-9b8d-3e7634f0e7a7",55,"B","M",10848,10848,"Y","O",2,"C","P","TNT","M","PSP","N",1627,24,26,"M",50,19,1,"N"
"83e4103e-2e6e-49a8-a2aa-19866db4b454",49,"D","M",14366,14366,"Y","S",1,"P","S","IMT","M","CSP","N",2873,7,3,"L",10,100,1,"Y"
"9b9cc2aa-a846-463a-af63-f0140b084b2f",36,"B","M",7185,7185,"N","S",1,"C","M","HAC","L","CSP","Y",1359,8,1,"M",10,18,1,"N"
"324d69d1-548d-44fc-bf7a-aef1493e6597",36,"H","F",7751,7751,"N","S",1,"C","P","HOS","L","ING","N",388,7,35,"H",10,80,1,"N"
"81f20fb7-300c-49b1-9f8d-bdc5e252a141",57,"B","M",11057,27643,"Y","M",8,"C","S","IMT","M","IOOF","Y",3560,8,19,"L",10,48,1,"Y"
"afd854ec-92b5-4e6d-9816-5c6e29f48c74",41,"P","F",16376,40940,"Y","M",8,"P","S","HOS","L","AMPS","Y",3766,23,27,"L",10,63,1,"Y"
"a79e5d88-93bb-4e44-b927-07b79c9ba8cd",40,"B","M",17509,17509,"Y","S",1,"C","M","EDU","L","BSA","Y",1751,19,40,"M",10,33,1,"N"
"d2d4b08a-c208-448e-a410-9ce1a0f7455a",41,"P","F",13683,34208,"Y","M",6,"C","S","EDU","M","NAB","Y",3148,7,56,"L",10,45,1,"Y"
"910e72a7-7937-4f8e-b2cd-2871f539a964",36,"D","F",7336,18340,"N","S",6,"C","P","IMT","L","CMC","Y",422,27,51,"H",10,51,1,"N"
"ee1fc426-0359-4871-b67b-ddf45fcc3e5c",59,"B","F",12192,12192,"Y","S",1,"C","S","IMT","M","WST","Y",2438,4,54,"L",10,80,1,"Y"
"b7b823c0-55c5-4bd3-9ff9-f0f0eb05a564",56,"P","M",19912,19912,"Y","S",1,"C","P","WHT","L","CBA","Y",3982,30,54,"L",10,90,1,"Y"
"d8c9056f-adc0-4f52-bae6-134dbbe33948",28,"D","F",4711,9422,"N","M",0,"C","M","TNT","L","CBU","N",542,27,35,"H",10,86,1,"N"
"f7e2a952-ff91-4514-a1c7-a878d4523e89",58,"D","F",10135,10135,"Y","S",1,"C","M","HOS","M","AMEX","Y",0,28,47,"H",10,19,0,"N"
"ea6acf23-da27-4202-8870-2be10a2cb99a",47,"B","M",18973,47433,"Y","M",0,"P","M","MAN","H","CBU","Y",4364,22,18,"L",10,61,1,"Y"
"56708725-75e7-4d36-a492-97beef2b7e24",57,"P","F",19323,19323,"Y","S",1,"P","P","MAN","H","CUA","Y",3865,9,42,"L",10,74,5,"Y"
"078c17b8-7f8b-4dc4-9a40-82d2c52267a1",24,"D","F",5096,11211,"N","O",8,"C","S","CON","L","CMC","N",255,17,6,"H",10,83,1,"N"
"ff26d747-164c-40dd-8383-a3e74dee2ffe",51,"P","M",19097,19097,"Y","S",1,"P","M","RET","H","WBC","Y",3819,6,7,"L",10,74,1,"Y"
"ad0528d4-56f9-4b3f-b1dc-fd9531d3773b",38,"B","F",9455,9455,"N","S",1,"P","M","RET","M","BSA","Y",946,27,21,"M",10,61,1,"N"
"f11f9741-215f-47a6-80fb-1e929c80817c",25,"D","M",5873,5873,"Y","S",1,"P","P","IMT","L","AMPB","N",587,28,30,"H",10,25,1,"N"
"a980d711-025b-477c-8357-eec5ba0ba47d",47,"B","F",12472,12472,"Y","S",1,"P","P","MAN","H","FLY","Y",2494,27,42,"L",10,13,1,"Y"
"d258d631-bb14-4794-979d-13bdf6c572ab",33,"M","M",6263,6263,"N","O",1,"C","P","CON","L","WST","N",626,2,28,"H",10,12,1,"N"
"d4063cd7-26cd-4dab-ac0b-bbf4eb5d9780",53,"D","M",17718,17718,"Y","O",1,"C","P","EDU","H","BQL","Y",3544,3,7,"L",10,77,1,"Y"
"ab7e6306-d0b8-4aa9-912c-33b97b665d8a",21,"H","F",5789,5789,"N","S",1,"P","S","EGW","M","DBL","N",579,22,1,"H",10,78,1,"N"
"c828f40b-93cf-49e1-881a-56787589461e",38,"D","M",9136,22840,"N","M",8,"P","S","MAN","M","MBL","Y",1472,11,35,"M",10,20,1,"N"
"d4b6a87e-e7e4-498a-a29b-3bf9116283c8",47,"B","M",15100,15100,"Y","S",1,"P","P","RET","M","STG","Y",3020,25,41,"L",10,62,1,"Y"
"30e20511-ce1a-4a6d-9e01-7e088df483b7",34,"M","F",6210,6210,"N","S",1,"C","P","AFF","L","WST","N",311,12,15,"H",10,39,1,"N"
"c17179ff-e6a8-44ea-a502-fc0d7dcf50dc",52,"H","M",19618,49045,"Y","S",5,"P","M","CON","L","FLY","Y",0,7,55,"H",10,90,0,"N"
"a8b1e246-bdb3-496f-9ff3-3c416f5a1c10",22,"H","F",5545,5545,"N","S",1,"C","P","AFF","L","IOOF","Y",555,10,6,"H",10,26,1,"N"
"00e51cbb-a7af-47e9-84db-2baf5d091075",60,"H","F",5643,5643,"N","S",1,"C","S","HAC","M","BSA","Y",1129,8,53,"M",10,12,1,"N"
"79fdc74c-070b-438f-bd45-72f32b4eff18",23,"M","M",5157,7736,"N","S",8,"C","P","TNT","L","WST","N",415,24,60,"H",10,95,1,"N"
"a4d5fd73-4410-4335-8b05-e31d04a7457d",44,"B","M",14040,35100,"Y","M",0,"P","M","TNT","L","MTP","Y",4521,22,58,"L",10,99,1,"Y"
"a086025f-a533-4311-83c1-ebc1ab97bca5",41,"B","F",11353,28383,"Y","M",7,"C","P","EGW","M","WBC","Y",1958,5,2,"M",10,7,1,"N"
"f70d2468-bb28-4913-9a1d-e5574d1908a6",55,"M","M",14074,35185,"Y","M",7,"P","P","FSS","M","IOOF","Y",3237,5,17,"L",10,41,1,"Y"
"95386d00-c81a-4ef0-82c9-9794eabd1e95",29,"D","M",5757,5757,"N","O",0,"C","S","HOS","L","CUA","Y",576,17,27,"H",10,97,1,"N"
"d5cee55e-84ed-4096-a9dd-f6c934fe3d70",23,"H","F",4490,4490,"N","S",1,"C","S","MAN","L","PIB","N",449,21,12,"H",10,67,1,"N"
"8a706ea6-4f53-45f9-bd67-2443f89983ca",37,"B","F",9947,9947,"N","S",1,"P","S","HOS","M","BOM","Y",497,10,55,"H",10,80,1,"N"
"66e90beb-5cd3-4db6-817d-8d95b7ac65c7",49,"B","F",16298,16298,"Y","S",1,"P","P","RET","H","ANZ","Y",3260,27,50,"L",10,79,1,"Y"
"3a23b073-729a-48dc-86a4-c82860409750",21,"P","M",5335,11737,"N","S",2,"C","P","CON","L","WST","N",430,15,3,"H",10,100,1,"N"
"d5a9160a-3c9d-4d44-94b1-41dc0295d763",54,"M","F",17522,43805,"Y","O",8,"C","P","HOS","H","MTP","Y",0,29,10,"H",0,67,0,"N"
"fe681617-f5d5-4361-add4-c02f3177739d",46,"D","F",14135,14135,"N","S",1,"C","P","HAC","M","PSP","Y",0,6,27,"H",10,44,0,"N"
"bb44d7e9-96e2-4ded-9f0b-f718116eb131",55,"D","F",16834,42085,"Y","O",3,"P","S","FSS","H","HPL","Y",3367,5,39,"L",10,61,1,"Y"
"94589b67-9bfa-4810-9647-b45e2df9bc1a",56,"D","F",10539,26348,"Y","O",2,"C","P","TNT","M","HPL","N",1581,5,56,"M",10,57,1,"N"
"f7f6eb01-1dcf-41da-81ab-b45854e80096",39,"H","F",8318,8318,"N","O",5,"C","M","THR","M","UBS","N",832,18,21,"M",10,12,1,"N"
"bdc93e5b-562c-49ca-93e1-99898c4650e0",20,"H","M",4654,4654,"N","O",4,"C","S","HOS","M","CBU","N",465,19,29,"H",10,13,1,"N"
"dec97215-b659-43b2-8982-08675bc0f6db",47,"M","M",19608,49020,"N","M",2,"P","P","RET","H","AMEX","Y",6314,20,6,"L",10,86,1,"Y"
"832a5f61-b307-4ce6-8f78-458820a21319",57,"D","M",17282,43205,"Y","M",0,"C","M","FSS","H","CTI","Y",5564,24,31,"L",10,21,1,"Y"
"4b00f8df-ad2c-4c97-b3ed-d3c947c4d128",30,"M","M",7665,7665,"N","O",7,"C","P","FSS","L","CTI","N",383,4,45,"H",10,4,1,"N"
"d34796e0-7ffb-4e9a-8923-c0eb8ad419a5",56,"D","M",15830,15830,"Y","S",1,"C","S","CON","M","HAS","Y",3166,29,29,"L",10,18,1,"Y"
"289632e6-41d6-47bd-88ec-cc179cc48544",34,"P","M",7587,7587,"Y","O",8,"C","S","HOS","L","WBC","N",379,13,26,"L",10,16,1,"N"
"95573f35-2005-4471-8123-2a35f9ef5127",52,"M","F",18789,18789,"Y","S",1,"C","S","TNT","H","RAMS","N",2818,22,36,"L",10,23,1,"Y"
"0ce8332b-1f09-450e-939b-877df2a9fcbe",54,"P","M",17285,17285,"Y","S",1,"P","S","HOS","H","FLY","N",3457,13,11,"L",10,56,1,"N"
"8c8e4441-bc6e-4fa8-ab75-aee163bcebb4",56,"B","M",14592,14592,"Y","S",1,"P","P","FSS","M","CSP","N",2918,14,10,"L",10,17,1,"Y"
"86a2d02c-9ede-4b60-92ea-57dc040f24c6",52,"B","M",19566,19566,"Y","S",1,"P","P","FSS","H","CBA","Y",3913,24,12,"L",10,53,1,"Y"
"27e44652-1b3b-4ba9-a082-c0c4714a69a3",49,"M","M",9487,20871,"Y","S",5,"C","M","EDU","M","CMC","N",0,10,45,"L",10,97,0,"N"
"6d1358e2-838b-4628-adfe-83702291a301",55,"P","M",11161,11161,"Y","S",1,"C","M","HAC","M","HAS","Y",2232,26,60,"L",10,79,1,"Y"
"7b99aca4-613f-402b-8e3f-b51467852830",28,"B","M",5450,8175,"N","S",2,"C","S","RET","L","CSP","N",440,21,3,"H",10,81,1,"N"
"1913441d-39c4-4565-a435-daf88c41f2da",35,"D","F",7218,15880,"Y","S",6,"C","S","TNT","L","STG","N",415,23,60,"H",10,62,1,"N"
"fd66ccee-e868-4886-b65d-bc27096e1881",40,"B","F",18942,47355,"N","M",1,"C","S","HAC","H","SUN","Y",2178,6,18,"L",10,70,1,"Y"
"2b8c2b49-bf50-408e-8eb5-87cff76ce3a6",44,"P","F",14195,14195,"Y","S",1,"C","M","CON","M","HAS","Y",710,28,45,"H",10,29,1,"N"
"251e7628-80a2-4698-8e71-ac71d72c5550",59,"D","M",8029,8029,"N","S",1,"C","S","EDU","M","VFL","N",1606,24,8,"M",10,2,1,"N"
"36aebf3d-2f6f-434a-8dd1-ffab068b5326",31,"H","F",6170,13574,"N","O",5,"C","S","MAN","L","CUA","N",309,22,33,"H",10,80,1,"N"
"a420b172-97a3-4644-bfd1-808049e99dbb",54,"B","F",13602,13602,"Y","S",1,"P","S","CON","M","AMEX","N",2720,6,21,"L",10,32,1,"Y"
"e0c2955a-eb4f-4e3e-ad6e-f6b253efe442",38,"P","F",8674,21685,"Y","M",6,"C","P","HOS","L","SUN","N",997,27,14,"M",10,84,1,"N"
"3e69ce9a-bb3d-48df-af5d-6ce751702a21",45,"M","M",19702,35464,"Y","S",0,"C","M","TNT","H","NAB","Y",0,28,28,"H",50,27,0,"N"
"f1ac1883-618d-417a-a8cd-1a229fadffa6",47,"D","F",14700,14700,"Y","S",1,"C","S","EDU","M","PIB","Y",2940,21,10,"L",10,72,1,"Y"
"cf549410-a03c-4112-889b-aad12faa3301",36,"H","M",9066,9066,"N","S",1,"C","S","TNT","M","CBU","Y",907,2,33,"M",10,96,1,"N"
"31daf480-f67b-4c81-99e5-26c6aaf1b8ea",35,"P","M",9208,20258,"N","M",7,"C","P","EGW","M","WST","N",741,14,55,"H",10,22,1,"N"
"f6b42069-2aa9-4fc4-b010-04f188a9af85",55,"M","M",13357,13357,"Y","S",1,"P","P","HOS","M","CUA","Y",2671,2,50,"L",10,91,1,"Y"
"f6df7c11-9e29-4bff-b34f-775f9d850d42",39,"P","M",8182,20455,"N","O",3,"P","P","WHT","M","CSE","N",818,9,41,"M",10,93,1,"N"
"49f07542-acf3-47e3-b409-6086b1318479",34,"H","M",8744,8744,"N","S",1,"P","P","THR","M","CTI","N",437,30,13,"H",10,66,1,"N"
"675cba53-1627-4b44-a053-605ac416e52d",60,"D","M",16264,16264,"Y","S",1,"C","M","EGW","H","WST","Y",0,26,34,"H",10,67,0,"N"
"445d3e0b-73e2-49d2-bf7d-7b7e973af210",58,"M","M",13679,24622,"Y","M",2,"P","S","IMT","M","IOOF","Y",4405,4,35,"L",10,3,1,"Y"
"d1ade2cd-d897-443e-9970-0b328ce64518",31,"H","M",6216,6216,"N","O",8,"P","P","AFF","L","CSE","N",0,13,33,"H",10,13,0,"N"
"b1d4c5e8-4d57-4ab8-b6dd-6eb369583485",29,"P","M",5777,5777,"N","O",8,"C","M","RET","M","MEB","N",578,8,5,"H",10,63,1,"N"
"f875e98c-6e0d-4d16-be04-4dda43c2d431",60,"H","M",11459,28648,"Y","O",1,"P","M","RET","M","BSA","Y",2292,22,18,"L",10,86,1,"Y"
"b6d01177-0b9e-4843-b014-f9afb1d5baed",37,"B","M",8746,8746,"N","S",1,"C","P","HOS","L","AMPS","N",875,26,52,"M",10,29,1,"N"
"0e74a904-b322-4756-becd-914b811811b7",34,"D","F",7795,17149,"N","S",6,"C","P","HAC","L","FMC","N",449,15,41,"H",10,90,1,"N"
"7b9d1d1f-7288-45cf-876a-c8db32380cf4",24,"P","M",8879,8879,"N","S",1,"C","S","FSS","M","DBL","N",444,3,10,"H",10,68,1,"N"
"0a05974c-6a93-46c7-b5d5-b8ba4a6682d9",22,"B","M",5099,11218,"Y","S",7,"C","P","THR","L","BQL","N",411,21,53,"H",10,76,1,"N"
"c5f50031-c431-4a60-b147-962cc3fc9971",31,"M","M",6967,13934,"N","M",6,"P","S","EDU","L","BQL","N",1122,10,0,"M",10,60,1,"N"
