"C_ID","C_TotalVoluntarySuperContribution","C_Age","C_Education","C_Gender","C_MonthlyIncome","C_HomeOwnershipStatus","C_RelationshipStatus","C_NumberofDependants","C_EmploymentType","C_SalarySacrifice","C_FinancialLiteracy","C_PersonalFinancialAdvice","App_SatisfactionRating","App_Tenure","App_AverageDailySessionTime","App_ShowTutorial"
"213ce65e-931f-4b6a-a888-d459a8e7c64b",1267,47,"P","F",6335,"N","M",7,"P","N","H","N","H",30,24,"N"
"bfd65485-e6df-41a0-824e-6ad13bd8f9ee",33,43,"D","M",14040,"Y","S",0,"P","N","H","Y","H",20,44,"N"
"94927dcd-d0bd-4bd0-b79c-3986c9a33e1d",2498,42,"M","M",13517,"Y","O",7,"P","Y","H","N","H",26,37,"Y"
"d4b6a87e-e7e4-498a-a29b-3bf9116283c8",2525,47,"B","M",12624,"Y","S",1,"P","Y","M","Y","H",25,41,"Y"
"ecc2d810-9afa-4809-93ef-032ae5718b23",54,37,"P","F",4863,"N","S",4,"C","N","M","N","H",14,4,"N"
"0921e6eb-a087-424f-969c-2bb03782e119",853,46,"H","F",4267,"Y","O",3,"C","N","L","Y","L",15,49,"N"
"ff7d339a-abc6-414c-bbb0-ffebf8309249",1487,45,"P","F",7435,"N","O",5,"P","Y","M","Y","H",26,23,"Y"
"9c65a866-a186-46be-94d3-535fc9d1f2f9",464,33,"B","F",7043,"N","O",5,"C","Y","L","N","L",2,13,"N"
"d6c572da-19a4-41fe-a4b6-6cd3d9a5c055",421,27,"B","F",3016,"N","O",8,"C","Y","L","N","L",8,11,"N"
"1816dd6a-ff27-40ae-865b-5405041b3f11",227,38,"M","F",11677,"Y","O",5,"C","N","L","N","L",8,14,"N"
"0b53f641-cec4-4f0f-9410-4c63024cf41f",309,34,"M","M",8030,"Y","S",1,"C","N","L","N","L",30,49,"N"
"bf95b72b-7fa9-41f8-85c6-2fca9b48e7b7",99,33,"B","M",6142,"N","S",3,"P","N","H","N","L",18,18,"N"
"54467928-0436-436b-b7d3-4c844f3a4e50",922,45,"B","M",15240,"Y","O",6,"C","N","L","N","L",10,57,"N"
"efaa0771-4ae9-4b3f-8e96-6daa36c48d1d",50,31,"B","F",5428,"N","S",3,"C","N","M","Y","H",7,13,"N"
"2130679f-38bf-4bf9-99bf-8a01f142660f",224,26,"M","M",7318,"Y","O",1,"C","N","L","N","L",7,8,"N"
"242afdf6-ae1f-4694-ba10-3960f63cd9d0",118,23,"B","F",4315,"Y","S",1,"C","N","L","N","L",13,5,"N"
"2084eb1d-a0fe-42bb-9ede-70abd93e3301",143,21,"H","F",3816,"Y","S",1,"C","N","L","N","L",2,3,"N"
"4d60b20f-8f66-4df5-91b0-9cb9633298a0",293,26,"P","M",4147,"N","O",4,"C","N","L","N","L",13,47,"N"
"c6df9993-ec52-4493-bcb0-15e91a2a6986",2757,51,"B","F",13784,"Y","S",1,"P","N","M","Y","H",24,59,"Y"
"8d08c1c9-06b7-4815-b075-a23bbbc941ba",786,36,"D","M",7596,"N","M",3,"P","N","L","N","L",11,30,"N"
"fbe932a6-382a-437d-800d-b70a7c877738",151,24,"H","M",1507,"Y","M",5,"C","N","L","N","H",17,22,"N"
"b7463cea-4456-4935-9ffd-e06cc04fb231",2366,46,"D","F",11830,"Y","O",2,"C","Y","H","Y","L",27,40,"Y"
"438d7d82-b2b6-4351-8d89-a28c4b4df0dd",389,33,"H","F",5906,"N","S",1,"C","Y","L","N","L",14,40,"N"
"2a70d3fe-021c-47e3-9de0-2f41b6d1bf96",321,34,"B","F",4919,"N","S",1,"C","N","L","N","L",20,48,"N"
"ac72fcce-3dcd-4ff9-8953-09958ee2afba",1101,39,"B","F",7616,"N","M",3,"P","N","M","N","H",2,50,"N"
"31daf480-f67b-4c81-99e5-26c6aaf1b8ea",741,35,"P","M",7109,"N","M",7,"C","N","L","N","L",14,55,"N"
"a55d2d75-070a-4eb7-9a81-c7c698adb32b",826,30,"B","F",6103,"N","S",1,"P","N","L","N","H",6,34,"N"
"a81fb6f1-8309-431a-9405-152ea1c79559",3104,56,"B","F",15519,"Y","O",4,"C","Y","H","Y","L",26,15,"Y"
"cc4d736d-792a-420a-89c4-2a3081bc9d22",84,40,"B","M",11935,"Y","O",6,"C","N","M","Y","L",26,5,"N"
"ad4f6dd0-670f-447d-b2a4-e5072eed34a4",1617,40,"M","F",12949,"Y","S",1,"P","Y","M","Y","L",14,58,"N"
"5e781abf-7555-4e8b-b8c5-7b4cc71d1e00",1380,44,"H","M",14077,"Y","M",2,"C","N","M","N","L",26,22,"N"
"d88863de-3a31-483a-8ec9-502ec95e0e9a",1545,36,"P","M",7725,"N","M",1,"P","Y","M","Y","L",23,54,"N"
"4d5697ea-18d3-4990-bfbe-86a3cf834d68",119,23,"H","F",3247,"N","S",1,"P","N","L","N","L",29,7,"N"
"2ffed790-b896-4a6f-b441-16dea4bb12d6",3351,54,"D","M",16754,"Y","O",4,"P","Y","H","Y","H",26,36,"Y"
"62bde9e0-75a3-46e7-858e-79ae633de7d0",3241,53,"H","F",16206,"Y","M",6,"P","Y","H","Y","H",23,49,"Y"
"b67f7555-c5a9-4854-ad3e-76c7b3327015",97,54,"H","M",11875,"Y","O",1,"P","N","L","Y","H",24,36,"N"
"410c8f43-c55d-46e5-8262-2e1217aa8f9e",2058,50,"H","M",10290,"Y","S",1,"C","N","H","Y","H",9,45,"Y"
"e3118104-660c-4b71-b620-74fa83a86b82",1645,44,"M","M",8226,"N","O",4,"P","Y","M","Y","H",9,24,"Y"
"d0d40864-9d9a-4260-9563-682015a0fa49",2049,54,"P","M",10246,"Y","S",1,"P","Y","M","Y","H",20,40,"Y"
"e2463172-a423-4652-b672-b2ec2b1fa63b",2043,42,"H","M",10213,"N","O",4,"P","Y","M","Y","H",11,10,"Y"
"36c8242c-e413-461c-a784-7323744e677c",80,41,"H","M",9545,"N","O",4,"C","N","L","N","L",16,11,"N"
"2b559b8f-d9cb-426d-9b54-6bb7901d2eda",82,60,"D","F",12311,"Y","S",4,"C","N","L","N","L",24,11,"N"
"5fbaef49-4b4d-49fd-a46d-9699628fac7b",149,22,"M","F",3998,"N","S",1,"P","N","L","N","L",3,7,"N"
"8dffe32c-8b68-4c66-ae83-05544415eda1",364,36,"D","F",5666,"N","O",1,"C","N","L","N","L",19,50,"N"
"8d39128a-f561-458e-877e-121755a1b465",2385,56,"B","M",11923,"Y","M",5,"C","Y","H","Y","H",24,43,"Y"
"95a351ea-4aa1-4be8-bc0a-e9b39eb3dce2",2983,60,"M","F",17683,"Y","O",0,"P","N","H","N","H",30,9,"Y"
"580a675b-4b1d-42e5-a974-bd33b09c2373",937,40,"M","M",15017,"Y","S",1,"C","N","L","N","L",23,17,"N"
"fd4e195f-3dd8-41d6-8df9-2c095df3f492",142,25,"B","M",1416,"Y","M",5,"C","Y","L","N","L",13,1,"N"
"30a91f74-7370-403d-877d-bb17e531a3f6",459,38,"B","F",7248,"N","S",1,"C","N","L","N","L",22,2,"N"
"f9413c87-988a-4e23-b69c-8db21966a9fb",378,24,"M","M",4517,"N","S",1,"C","N","M","N","H",21,24,"N"
"37781100-0c60-4d10-b59a-8e27340af6c5",253,26,"M","F",3576,"N","S",1,"C","Y","L","N","L",25,13,"N"
"2a0eb317-acde-4be4-bc9e-ad0b0a5ceb89",140,23,"B","M",3818,"N","S",1,"C","N","L","N","L",14,43,"N"
"0ec9c65e-de6b-494b-b05c-af01cf3a0003",321,40,"D","M",4462,"Y","O",5,"C","N","L","Y","L",5,42,"N"
"8f859ac2-18fc-4bfc-aea9-d0a801261c20",633,26,"D","F",3298,"N","O",3,"C","N","L","N","L",5,0,"N"
"3e74ebfa-9d78-47c0-a86e-ce89f8e07c49",142,23,"P","F",3366,"N","S",1,"P","Y","L","N","L",17,21,"N"
"578bda1d-45e6-4176-a8b1-06e4545f06fb",135,25,"H","F",3765,"N","S",1,"C","N","L","N","L",9,9,"N"
"b1b694f8-4736-4ef1-ae19-6b4879532e7f",3288,53,"P","M",16438,"Y","O",4,"C","Y","H","Y","L",16,14,"Y"
"a3eb581b-a888-45cf-abed-0f20fa1b3507",1845,50,"B","F",9223,"Y","O",8,"P","Y","H","N","L",13,6,"Y"
"562607c6-4d79-40b9-8130-1bab4957fe19",645,40,"B","F",10328,"Y","O",0,"P","N","L","N","L",28,49,"N"
"1b418b67-0417-497e-bda6-75127fa40589",143,25,"D","F",4118,"Y","O",3,"C","N","L","N","L",16,0,"N"
"73ac68ee-c169-4c19-a2a8-3ff958cf705d",716,37,"H","M",6980,"N","M",4,"P","Y","L","N","L",2,32,"N"
"9f0beb05-5044-4544-9af1-8d72765580d4",434,26,"H","M",3071,"N","S",1,"P","N","L","N","L",2,60,"N"
"d8c9056f-adc0-4f52-bae6-134dbbe33948",542,28,"D","F",3409,"N","M",0,"C","Y","L","N","L",27,35,"N"
"60b4b46d-71c8-4c59-b0d8-02a74fb188d8",1837,49,"D","F",9186,"Y","M",2,"C","Y","H","N","H",8,31,"Y"
"d2054c2e-dc59-4559-881f-a46bca8b01bd",2671,49,"D","M",13356,"Y","M",4,"P","N","M","Y","H",5,15,"Y"
"f121f1d4-1fc4-4e89-bbdc-37bc3db3ee03",89,46,"P","F",6881,"N","S",8,"C","N","M","Y","H",21,53,"N"
"0c5d17e2-4b1d-4e49-8e95-871cf9f639a9",1000,40,"H","M",5002,"Y","M",5,"C","N","M","N","L",15,57,"N"
"f5a2de2a-5ab2-45f0-883c-1ea10b9df111",50,36,"P","M",6806,"Y","S",4,"C","N","M","Y","H",26,46,"N"
"2496f05a-386c-465f-a998-2710e54f8170",404,41,"D","F",6090,"Y","S",1,"C","N","L","N","L",5,58,"N"
"6da22887-110f-4827-9607-8b1b719d703a",102,20,"M","M",2658,"N","S",1,"P","Y","L","N","L",27,30,"N"
"8b985c58-6702-40e7-bb78-ec509440c032",743,45,"M","F",12283,"Y","O",5,"P","Y","L","N","L",10,60,"N"
"5d1a952d-34be-423c-99c3-aa22a07fddbd",2249,50,"B","F",11243,"Y","M",8,"P","Y","H","Y","H",14,41,"Y"
"901825d0-5cf0-4ad0-b000-04c137656ba8",1933,47,"B","M",9667,"Y","M",2,"C","Y","H","Y","H",15,7,"Y"
"e2140b4c-bd43-4e6a-b302-2399bc04ba72",2865,49,"D","F",14324,"Y","S",1,"P","Y","M","Y","H",12,59,"Y"
"7a3f536f-1f2c-4a04-9d75-38cb434418c0",3086,46,"M","M",15432,"Y","O",5,"C","N","H","Y","H",10,21,"Y"
"7dfbfd71-e800-442e-8b18-f1393881f88d",1497,41,"B","M",14998,"Y","M",4,"P","N","M","N","L",18,47,"N"
"a871169b-e0c6-4e6e-b1cb-ed9c58a4ec05",2886,57,"B","M",14429,"Y","M",5,"C","N","H","Y","H",30,56,"Y"
"39a2c7b7-9ebd-454b-9897-034af84b7f45",101,20,"M","F",2614,"N","S",1,"C","Y","L","N","L",28,52,"N"
"557c1dc2-1137-4044-919d-7fc34cfc7b17",54,47,"M","F",13215,"Y","S",6,"C","N","L","N","L",27,16,"N"
"f2b8c565-454d-4dee-aefe-604cfbb8d023",1480,43,"B","M",7400,"N","S",1,"P","Y","M","Y","H",17,0,"Y"
"699cf265-dce0-4953-9979-c1050b05d696",2550,56,"M","M",12751,"Y","M",1,"P","Y","H","Y","H",27,13,"Y"
"982d2a22-3378-457e-9da1-4173f19b017b",286,23,"B","M",3885,"N","S",1,"P","Y","L","N","L",13,42,"N"
"103d05d1-68fd-41df-b44b-eecf4a26348f",325,37,"D","M",4072,"Y","O",2,"C","N","L","N","L",19,6,"N"
"c631d588-efb3-42cd-b5cf-9e09e6e8b12a",2106,50,"B","M",10528,"Y","S",1,"P","Y","M","Y","L",20,54,"Y"
"ce56cbf4-3ce1-4c12-a9ae-dee3a28aded6",3183,53,"H","M",15914,"Y","O",4,"P","Y","H","Y","H",28,6,"Y"
"03268827-4774-4908-9301-ccb8736ea765",915,50,"D","M",4573,"N","S",1,"P","N","H","Y","H",30,25,"Y"
"dc2ce64a-f9c7-41ab-8201-73635a67ad5d",40,21,"M","F",3177,"Y","S",1,"C","N","L","N","L",26,44,"N"
"c49884aa-f248-4c75-a952-6b6227b8c8d8",774,38,"D","F",6116,"N","S",1,"P","Y","L","N","L",11,28,"N"
"49ccbf6a-ea49-4ac6-8966-7cc685af711a",3448,54,"B","M",17242,"Y","S",1,"P","Y","H","Y","H",19,1,"Y"
"6923c1a8-3e45-49a9-beb1-9a52872171b3",597,31,"M","M",5534,"N","M",8,"C","N","L","N","L",18,25,"N"
"62f38eb6-e418-4cfc-a0e1-2f7af098e46b",64,57,"D","M",15857,"Y","O",4,"C","N","L","N","L",25,34,"N"
"97fb20bc-c433-4a57-9a0b-926ba2080d76",16,22,"H","F",2985,"N","O",0,"P","N","L","N","L",29,9,"N"
"88ef118d-6109-403a-b4e2-590b8161fada",1183,43,"M","M",12003,"Y","M",0,"C","N","M","N","L",27,49,"N"
"ae5bc2cc-1906-429f-bee9-1387814668e2",248,24,"D","M",3414,"N","O",3,"P","Y","L","N","H",20,15,"N"
"aa8854c0-8dbb-490e-ba9b-39856a5672cc",272,21,"H","F",3589,"N","S",1,"C","Y","L","N","H",28,18,"N"
"7720ead3-b924-470b-9be9-e928f28060e1",364,37,"P","M",5708,"N","S",1,"C","Y","L","N","L",14,42,"N"
"18e1bcd5-2cf8-475c-afc5-b8cb3d3a95e3",279,25,"D","M",4970,"Y","S",1,"C","N","L","N","L",5,13,"N"
"6803b147-867e-488f-8b4b-1772719a2b19",1889,47,"H","F",9446,"Y","M",6,"P","Y","H","Y","H",7,15,"Y"
"1a6cf548-59c2-4e90-9868-1e7d4f0b36be",436,28,"B","F",5364,"Y","O",4,"C","N","L","Y","L",2,16,"N"
"c7860472-ee6d-4080-bc50-1504ec226ba5",2006,53,"P","F",10028,"Y","M",4,"P","Y","M","Y","L",12,7,"Y"
"4038c4b9-a9b6-4e3a-82f4-a1c0d595d149",412,29,"D","F",3103,"N","O",0,"C","Y","L","N","L",19,8,"N"
"fd1c10b2-eb87-4276-a98f-1a215ed60678",1538,49,"D","F",7691,"N","S",1,"P","Y","M","Y","L",6,58,"Y"
"6d1358e2-838b-4628-adfe-83702291a301",1942,55,"P","M",9712,"Y","S",1,"C","Y","H","Y","H",26,60,"Y"
"d76fb64b-7186-428a-8e81-dba255aca806",100,46,"D","F",13369,"Y","O",4,"C","N","M","Y","H",16,3,"N"
"e9dcba02-0173-403a-a67f-766fff4cbd34",59,27,"H","F",2612,"Y","S",1,"C","N","L","N","L",29,11,"N"
"f8bad4be-6504-4e91-a58c-5d5830bcc58c",3001,49,"H","F",15005,"Y","S",1,"P","Y","H","Y","H",30,10,"Y"
"7b99aca4-613f-402b-8e3f-b51467852830",440,28,"B","M",3944,"N","S",2,"C","Y","L","N","L",21,3,"N"
"d57f47e5-e5ad-4b70-8e98-e7dcd6a5ae47",212,24,"D","F",2929,"N","O",8,"C","Y","L","N","L",13,50,"N"
"07c7be4c-41eb-4d20-bec4-060d3ac151f6",1165,56,"D","F",5823,"N","O",3,"P","N","H","N","H",23,8,"N"
"113b0ca9-9fb0-4a80-9301-2e395d307b23",328,39,"D","F",6217,"Y","O",4,"C","N","L","Y","L",14,20,"N"
"4b780c6a-4551-4e4a-811d-e9f986951373",239,26,"H","F",3387,"N","S",1,"C","N","L","N","L",9,9,"N"
"675cba53-1627-4b44-a053-605ac416e52d",33,60,"D","M",14460,"Y","S",1,"C","N","L","N","L",26,34,"N"
"edbcfd27-8af4-42f5-ba21-c10464504c20",1818,60,"B","F",9088,"Y","S",1,"P","Y","M","Y","H",22,19,"Y"
"4a67ba23-a2e2-4133-aae3-fc6c20c354e5",274,27,"B","M",3921,"N","S",1,"C","N","L","N","L",14,48,"N"
"990bf282-1234-4186-82b7-5bd53c4372d0",445,33,"B","F",6763,"N","S",1,"C","N","L","N","L",15,23,"N"
"f08a5427-3e81-4a78-9f84-846ae1bfbda7",164,21,"H","M",1634,"Y","S",1,"C","Y","L","N","L",30,41,"N"
"0a0b485f-ee02-44fd-aa59-28fcce048d80",438,44,"B","F",5146,"Y","S",4,"C","N","L","Y","L",25,43,"N"
"890b445e-33aa-46df-974f-b340b2e03060",710,42,"M","F",11528,"Y","S",1,"P","Y","L","N","L",15,33,"N"
"202a9fc4-9c78-4034-b7ef-dce99d72c285",78,58,"H","F",6321,"Y","S",7,"C","N","L","N","L",8,10,"N"
"7f647e06-0bac-4a27-8804-7843a3d04e4d",29,24,"B","M",5288,"N","S",1,"C","N","L","N","L",22,58,"N"
"186e74f8-4bde-41e2-8c42-8edbbd5d90ac",2251,60,"M","M",11254,"N","S",1,"P","Y","H","Y","H",17,16,"N"
"ac09ad4a-d918-40da-9089-7e37b7fbd227",2532,51,"B","F",12659,"Y","O",5,"P","N","H","Y","H",9,10,"Y"
"ea1d4598-45ba-4ba8-b555-a2a6757529c2",2808,58,"D","F",14038,"N","S",1,"P","N","H","Y","H",2,20,"Y"
"dad846ca-08f1-41fb-b7d8-edab77f85927",242,20,"B","M",3148,"N","O",2,"C","N","L","N","L",14,50,"N"
"05951b58-c956-4418-8233-b420348d59ec",43,20,"D","M",4932,"Y","O",8,"C","N","M","N","L",7,52,"N"
"860f89c3-406f-47fb-88d1-b6d846621fcd",327,22,"P","M",3265,"N","M",7,"P","N","M","N","L",27,0,"N"
"5edab1b0-3203-4e17-ae49-4440fad4adc1",3374,50,"D","M",16872,"Y","M",2,"P","Y","H","Y","H",3,54,"Y"
"0140a446-3da8-4114-a968-f9e9a7a5ad3d",807,39,"B","M",5830,"N","S",1,"C","N","M","N","L",16,50,"N"
"7f2454fb-ffd7-4a73-b9dc-fdd1eaeede0f",993,45,"B","F",16412,"Y","O",5,"P","Y","L","N","L",12,44,"N"
"045acf9f-c80b-4947-ad34-6ceab815e9e3",96,44,"D","M",5256,"Y","S",4,"C","N","M","N","L",2,22,"N"
"77108231-4121-495c-af62-37f078958ea4",2415,59,"M","M",12075,"Y","O",2,"P","Y","H","Y","H",4,49,"Y"
"26fcf45e-f22f-4055-9212-8243893e8e55",1480,51,"P","M",7399,"N","M",1,"P","N","H","N","H",19,26,"N"
"ca273779-dae6-491d-b5a9-c50af8809573",2592,42,"H","M",12961,"Y","O",1,"P","N","M","Y","H",3,13,"Y"
"ab522943-0f26-49b0-8553-28447658f3d4",46,44,"B","F",14304,"Y","S",5,"P","N","L","N","H",14,60,"N"
"966dd50f-618c-4b86-ad3e-f7913d568634",1903,52,"M","F",10883,"Y","S",1,"C","Y","M","N","L",20,55,"N"
"261c325b-5479-4b7d-9755-751bf8972c7d",1192,56,"D","F",5958,"Y","M",3,"P","N","M","N","L",24,29,"N"
"f8b288e2-2094-4111-82ae-487a943976f2",47,53,"P","M",10478,"N","S",8,"C","N","M","Y","H",5,14,"N"
"a4b2d58f-3181-4a7c-9e26-7761ab785546",780,37,"B","F",5312,"N","M",1,"P","Y","L","N","L",7,56,"N"
"5b6a939b-9e0d-438b-aed4-1f3b41d48ae8",143,24,"M","M",3943,"N","O",8,"P","N","L","N","L",6,22,"N"
"4c749fad-86d0-4037-90c1-fa301ec60f22",733,37,"M","M",7131,"N","M",1,"P","N","L","N","L",17,2,"N"
"9b0d5c4e-9743-466a-b1c0-87648204636f",279,25,"B","F",3900,"N","S",1,"P","N","L","N","L",4,54,"N"
"5cf0fb13-c687-4814-82d1-7c961c4fe8ba",678,45,"M","M",11216,"Y","S",1,"P","N","L","N","L",11,55,"N"
"904761a0-cc14-405a-872e-dcc50d922821",17,24,"D","M",2768,"N","O",3,"P","N","L","N","L",18,29,"N"
"7d364d41-8974-4d77-853d-65df61ea24db",3356,60,"B","M",16779,"Y","O",7,"C","Y","H","Y","H",15,45,"Y"
"b41241fe-2683-4dea-817e-a4b72926748e",3003,49,"D","M",15013,"Y","O",5,"P","N","H","Y","H",30,48,"Y"
"630cf090-7aac-47bd-9257-e24686df3a98",420,35,"B","M",6483,"N","S",1,"P","N","L","N","L",29,49,"N"
"91c37d37-b003-43c1-8a8f-172836793fc5",225,23,"D","M",3058,"N","O",2,"P","Y","L","N","L",14,44,"N"
"f631b7e5-04d2-4673-b9d1-35b95577b2d5",2752,45,"M","M",13761,"N","M",2,"P","Y","H","Y","L",21,38,"Y"
